RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,         2319,     2455,    136.0,     2319,     2591
           100,         1355,     2088,    530.3,     1355,     2591
           100,          140,     1601,    960.6,      140,     2591
           100,          962,     1473,    896.4,      140,     2591
           100,         3199,     1761,   1040.8,      140,     3199
           100,         1134,     1671,    988.2,      140,     3199
           100,          837,     1567,    964.7,      140,     3199
           100,         2948,     1721,   1007.8,      140,     3199
           100,         1043,     1653,    977.4,      140,     3199
           100,          626,     1559,    977.6,      140,     3199
           100,         3395,     1712,   1064.6,      140,     3395
           100,         1569,     1701,   1023.5,      140,     3395
           100,         1781,     1707,    986.5,      140,     3395
           100,         3050,     1797,   1010.2,      140,     3395
           100,          861,     1738,   1004.0,      140,     3395
           100,         1600,     1730,    974.6,      140,     3395
           100,         1373,     1710,    950.7,      140,     3395
           100,          405,     1641,    970.1,      140,     3395
           100,         1004,     1610,    955.7,      140,     3395
           100,         5412,     1791,   1235.1,      140,     5412
           100,          463,     1730,   1238.0,      140,     5412
           100,         4031,     1830,   1298.5,      140,     5412
           100,         3747,     1910,   1327.6,      140,     5412
           100,          754,     1864,   1320.4,      140,     5412
           100,         4071,     1949,   1362.5,      140,     5412
           100,         1499,     1932,   1339.8,      140,     5412
           100,          168,     1869,   1355.8,      140,     5412
           100,         2518,     1892,   1337.4,      140,     5412
           100,         3147,     1933,   1334.1,      140,     5412
           100,          310,     1881,   1343.4,      140,     5412
           100,         1139,     1858,   1328.5,      140,     5412
           100,         2638,     1881,   1315.1,      140,     5412
           100,          511,     1841,   1316.1,      140,     5412
           100,         1727,     1838,   1297.3,      140,     5412
           100,         2425,     1854,   1282.8,      140,     5412
           100,          870,     1828,   1275.4,      140,     5412
           100,         1317,     1814,   1261.1,      140,     5412
           100,         1006,     1793,   1251.4,      140,     5412
           100,          791,     1768,   1245.5,      140,     5412
           100,          695,     1742,   1241.3,      140,     5412
           100,         2845,     1768,   1237.9,      140,     5412
           100,          553,     1740,   1237.1,      140,     5412
           100,         3356,     1777,   1246.4,      140,     5412
           100,         5464,     1859,   1347.0,      140,     5464
           100,         1334,     1847,   1334.5,      140,     5464
           100,         1045,     1830,   1325.3,      140,     5464
           100,         1113,     1815,   1315.4,      140,     5464
           100,          718,     1793,   1311.1,      140,     5464
           100,          246,     1762,   1315.9,      140,     5464
           100,         2808,     1783,   1311.0,      140,     5464
           100,         2236,     1791,   1299.8,      140,     5464
           100,          928,     1775,   1292.8,      140,     5464
           100,         2339,     1785,   1283.1,      140,     5464
           100,          387,     1760,   1285.0,      140,     5464
           100,          281,     1734,   1288.5,      140,     5464
           100,        12643,     1925,   1918.9,      140,    12643
           100,          404,     1899,   1912.6,      140,    12643
           100,          375,     1873,   1906.5,      140,    12643
           100,         1134,     1861,   1892.9,      140,    12643
           100,          320,     1835,   1887.5,      140,    12643
           100,         4777,     1883,   1908.5,      140,    12643
           100,         6342,     1954,   1973.6,      140,    12643
           100,          901,     1937,   1962.5,      140,    12643
           100,         1190,     1926,   1949.5,      140,    12643
           100,         2578,     1936,   1936.3,      140,    12643
           100,          242,     1910,   1932.8,      140,    12643
           100,          498,     1890,   1926.0,      140,    12643
           100,         5308,     1939,   1955.2,      140,    12643
           100,          735,     1922,   1946.4,      140,    12643
           100,          306,     1899,   1942.0,      140,    12643
           100,         1912,     1899,   1928.5,      140,    12643
           100,         1187,     1890,   1917.0,      140,    12643
           100,          254,     1867,   1913.4,      140,    12643
           100,         1652,     1865,   1900.7,      140,    12643
           100,          553,     1847,   1894.1,      140,    12643
           100,         1197,     1839,   1883.2,      140,    12643
           100,        16843,     2031,   2519.9,      140,    16843
           100,          710,     2014,   2508.3,      140,    16843
           100,          634,     1997,   2497.3,      140,    16843
           100,         9525,     2090,   2617.3,      140,    16843
           100,          833,     2075,   2605.0,      140,    16843
           100,         3103,     2087,   2591.7,      140,    16843
           100,         8523,     2164,   2669.1,      140,    16843
           100,          333,     2142,   2660.7,      140,    16843
           100,         1340,     2133,   2646.6,      140,    16843
           100,        34439,     2504,   4333.8,      140,    34439
           100,          603,     2483,   4313.9,      140,    34439
           100,          615,     2462,   4294.1,      140,    34439
           100,          342,     2438,   4275.9,      140,    34439
           100,          896,     2421,   4255.4,      140,    34439
           100,          881,     2404,   4235.2,      140,    34439
           100,         3576,     2417,   4214.1,      140,    34439
           100,          740,     2399,   4195.2,      140,    34439
           100,         1332,     2388,   4174.5,      140,    34439
           100,          502,     2368,   4157.1,      140,    34439
           100,          160,     2346,   4141.6,      140,    34439
           100,          701,     2329,   4123.7,      140,    34439
           100,         6153,     2367,   4120.6,      140,    34439
           100,         1334,     2357,   4101.3,      140,    34439
           100,          661,     2340,   4084.4,      140,    34439
           100,         2154,     2338,   4064.3,      140,    34439
           100,          655,     2322,   4047.9,      140,    34439
           100,          620,     2306,   4031.8,      140,    34439
           100,         3580,     2318,   4014.5,      140,    34439
           100,          245,     2298,   4000.5,      140,    34439
