RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,          856,     1539,    683.0,      856,     2222
           100,         1491,     1523,    558.1,      856,     2222
           100,          553,     1280,    640.3,      553,     2222
           100,         1332,     1291,    573.1,      553,     2222
           100,         2677,     1522,    735.3,      553,     2677
           100,          782,     1416,    728.3,      553,     2677
           100,        10574,     2561,   3104.3,      553,    10574
           100,        32063,     5839,   9722.6,      553,    32063
           100,          948,     5350,   9339.7,      553,    32063
           100,         1786,     5026,   8963.8,      553,    32063
           100,        12878,     5680,   8852.3,      553,    32063
           100,         1688,     5373,   8571.3,      553,    32063
           100,          699,     5039,   8346.7,      553,    32063
           100,         3006,     4904,   8079.7,      553,    32063
           100,          499,     4628,   7895.4,      499,    32063
           100,          944,     4412,   7708.6,      499,    32063
           100,         1524,     4251,   7520.5,      499,    32063
           100,         1386,     4100,   7347.9,      499,    32063
           100,         1035,     3947,   7192.9,      499,    32063
           100,        11187,     4292,   7186.9,      499,    32063
           100,          460,     4118,   7066.9,      460,    32063
           100,         1756,     4015,   6928.3,      460,    32063
           100,         6669,     4126,   6803.1,      460,    32063
           100,          906,     3997,   6695.5,      460,    32063
           100,          534,     3864,   6599.1,      460,    32063
           100,          973,     3757,   6498.7,      460,    32063
           100,         1651,     3681,   6393.6,      460,    32063
           100,         1764,     3615,   6292.1,      460,    32063
           100,         7546,     3746,   6226.5,      460,    32063
           100,         1112,     3661,   6142.9,      460,    32063
           100,          515,     3563,   6070.9,      460,    32063
           100,         1819,     3510,   5985.6,      460,    32063
           100,         1336,     3446,   5908.4,      460,    32063
           100,          599,     3365,   5842.7,      460,    32063
           100,         2697,     3346,   5762.0,      460,    32063
           100,         1489,     3296,   5691.6,      460,    32063
           100,         1852,     3258,   5620.9,      460,    32063
           100,         4334,     3286,   5551.0,      460,    32063
           100,          224,     3209,   5502.0,      224,    32063
           100,          752,     3149,   5447.7,      224,    32063
           100,        10086,     3314,   5485.3,      224,    32063
           100,          403,     3247,   5438.9,      224,    32063
           100,         2289,     3225,   5378.6,      224,    32063
           100,         1238,     3181,   5326.6,      224,    32063
           100,          324,     3119,   5284.8,      224,    32063
           100,          623,     3066,   5240.7,      224,    32063
           100,         1508,     3033,   5190.6,      224,    32063
           100,          450,     2980,   5150.3,      224,    32063
           100,          276,     2926,   5112.6,      224,    32063
           100,         3460,     2937,   5062.8,      224,    32063
           100,          332,     2887,   5026.6,      224,    32063
           100,          379,     2839,   4990.6,      224,    32063
           100,         6262,     2903,   4965.7,      224,    32063
           100,          814,     2865,   4928.2,      224,    32063
           100,          854,     2829,   4891.3,      224,    32063
           100,         3627,     2843,   4849.3,      224,    32063
           100,         1154,     2814,   4812.4,      224,    32063
