RTI Connext DDS Research License issued to City University of London (CULONDON02-UP) ... For non-production use only.
Expires on 01-nov-2022 See www.rti.com for more information.

Intervals One-way Latency for 100 Bytes:
Length (Bytes), Latency (us), Ave (us), Std (us), Min (us), Max (us)
           100,          843,      782,     60.5,      722,      843
           100,          364,      643,    203.4,      364,      843
           100,          149,      520,    277.1,      149,      843
           100,          321,      480,    260.2,      149,      843
           100,          232,      438,    254.9,      149,      843
           100,          145,      397,    257.4,      145,      843
           100,          558,      417,    246.6,      145,      843
           100,          429,      418,    232.5,      145,      843
           100,          338,      410,    221.9,      145,      843
           100,         1022,      466,    275.1,      145,     1022
           100,          633,      480,    267.5,      145,     1022
           100,          387,      473,    258.1,      145,     1022
           100,          361,      465,    250.4,      145,     1022
           100,          812,      488,    257.0,      145,     1022
           100,          530,      490,    249.0,      145,     1022
           100,          762,      506,    249.9,      145,     1022
           100,          517,      507,    242.9,      145,     1022
           100,         1201,      543,    282.7,      145,     1201
           100,          602,      546,    275.8,      145,     1201
           100,          662,      552,    270.3,      145,     1201
           100,          419,      546,    265.5,      145,     1201
           100,          331,      537,    263.3,      145,     1201
           100,          536,      536,    257.8,      145,     1201
           100,          749,      545,    256.0,      145,     1201
           100,          327,      537,    254.5,      145,     1201
           100,          561,      538,    249.8,      145,     1201
           100,          202,      526,    253.1,      145,     1201
           100,          529,      526,    248.7,      145,     1201
           100,          616,      529,    245.0,      145,     1201
           100,          214,      519,    247.4,      145,     1201
           100,          708,      524,    245.7,      145,     1201
           100,          424,      521,    242.6,      145,     1201
           100,          347,      516,    240.8,      145,     1201
           100,          616,      519,    237.9,      145,     1201
           100,          572,      521,    234.7,      145,     1201
           100,          108,      509,    241.0,      108,     1201
           100,          348,      505,    239.2,      108,     1201
           100,          521,      506,    236.1,      108,     1201
           100,          298,      500,    235.4,      108,     1201
           100,          303,      496,    234.5,      108,     1201
           100,          403,      493,    232.1,      108,     1201
           100,          217,      487,    233.2,      108,     1201
           100,          365,      484,    231.2,      108,     1201
